재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_AssetsAbstract	자산 [abstract]			
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_CurrentAssets	   유동자산	16,100,334,467	18,079,335,574	12,801,669,723
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_CashAndCashEquivalents	      현금및현금성자산	5,590,590,061	6,937,695,774	3,334,592,609
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_ShortTermDepositsNotClassifiedAsCashEquivalents	      단기금융상품	62,342,000	58,024,050	866,906,654
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_TradeAndOtherCurrentReceivables	      매출채권 및 기타채권	4,105,165,182	6,030,667,254	3,818,198,582
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_ShortTermDueFromCustomersForContractWork	      미청구공사	0	0	2,730,789,484
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_Inventories	      재고자산	3,466,730,654	1,752,878,073	1,622,662,496
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_ShortTermPrepaidConstructionCosts	      선급공사원가	2,728,059,230	2,522,878,628	0
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_CurrentTaxAssets	      당기법인세자산	1,159,380	2,122,044	4,430,210
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_OtherCurrentAssets	      기타유동자산	146,287,960	775,069,751	424,089,688
