재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_Revenue	매출액		22,592,015,218			35,751,939,484	31,546,170,185
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_CostOfSales	매출원가		18,878,463,076			30,438,220,208	28,246,942,551
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_GrossProfit	매출총이익		3,713,552,142			5,313,719,276	3,299,227,634
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		3,246,371,069			3,651,573,638	2,965,917,017
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	entity00378363_udf_IS_20196279058268_TotalSellingGeneralAdministrativeExpenses	   판매비		924,383,884			966,455,195	691,395,835
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	entity00378363_udf_IS_20196279058830_TotalSellingGeneralAdministrativeExpenses	   관리비		2,321,987,185			2,685,118,443	2,274,521,182
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익		467,181,073			1,662,145,638	333,310,617
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	entity00378363_udf_IS_2019626132256248_StatementOfComprehensiveIncomeAbstract	관계기업투자이익		-388,898,018			108,183,077	580,702,870
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		20,569,302			32,802,859	25,147,996
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융비용		543,664,587			783,085,168	1,133,407,834
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_OtherGains	기타영업외이익		772,609,461			701,471,110	358,686,423
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_OtherLosses	기타영업외비용		1,401,491,111			308,938,645	1,445,317,257
