date,code,period,corp_code,bsns_year,reprt_code,announce_date,revenue,op_income,net_income,eps,total_assets,total_equity,cash_flow_op,cash_flow_inv,cash_flow_fin,div_amount
20160331,014470,Q1,00243067,2016,11013,,34358061121.0,1403195915.0,941807260.0,27.0,227378883655.0,195525714565.0,-621714928.0,-2942947283.0,-10637500.0,
20160630,014470,Q2,00243067,2016,11012,,31630385524.0,696365475.0,1251294104.0,36.0,228080988312.0,196162631053.0,1443398679.0,-6481926496.0,-493187500.0,
20160930,014470,Q3,00243067,2016,11014,,84995636100.0,2579098271.0,2218053517.0,44.0,332107424375.0,239446702621.0,17471740380.0,-8189085287.0,-799719479.0,
20161231,014470,Q4,00243067,2016,11011,,257006997195.0,11636655499.0,9988647670.0,207.0,275144750715.0,194241480521.0,8136547836.0,-293556463.0,-9599442764.0,0.0
20170331,014470,Q1,00243067,2017,11013,,101318804275.0,1116135460.0,817970605.0,16.0,277195792294.0,195138118334.0,12751679080.0,-1591198158.0,-2174750000.0,
20170630,014470,Q2,00243067,2017,11012,,88080048070.0,-4141067134.0,-3655287317.0,-15.0,271093467653.0,191459301334.0,690917490.0,-3711369280.0,4141000000.0,
20170930,014470,Q3,00243067,2017,11014,,99086531759.0,1319849994.0,945087540.0,36.0,275324844618.0,192742826708.0,12028500085.0,-4970365720.0,-1347000000.0,
20171231,014470,Q4,00243067,2017,11011,,383330725737.0,-3847541069.0,-1811262179.0,50.0,274081717527.0,193360547494.0,24516646655.0,-4683953805.0,-6003539000.0,0.0
20180331,014470,Q1,00243067,2018,11013,,93894021528.0,1703262256.0,1539388280.0,21.0,273090845425.0,195228687735.0,2811889897.0,-9873833298.0,-3900316000.0,
20180630,014470,Q2,00243067,2018,11012,,81935901031.0,390514150.0,-1741209930.0,-20.0,259041009132.0,193168160354.0,1254788777.0,-7068970194.0,-4950316000.0,
20180930,014470,Q3,00243067,2018,11014,,88581514340.0,1130353626.0,871759227.0,23.0,263262721809.0,193806939417.0,2985141275.0,-11148287734.0,-4950316000.0,
20181231,014470,Q4,00243067,2018,11011,,348599294078.0,3982786948.0,1802913236.0,43.0,257894792993.0,194166585152.0,1909089070.0,-7914862287.0,-5644050150.0,0.0
20190331,014470,Q1,00243067,2019,11013,,88756932170.0,-128184301.0,228170213.0,5.0,268731437477.0,194673042485.0,4028126562.0,-3488006385.0,-71097930.0,
20190630,014470,Q2,00243067,2019,11012,,74679679310.0,-1649577560.0,59244237.0,8.0,267584311217.0,194584815816.0,3000096384.0,-624275174.0,-276933872.0,
20190930,014470,Q3,00243067,2019,11014,,84218779683.0,-347310203.0,-10958819.0,-12.0,264857674495.0,194533101872.0,-2819905544.0,-2184670857.0,4374649624.0,
20191231,014470,Q4,00243067,2019,11011,,330262944394.0,-4220138141.0,-9421837074.0,-181.0,261497703105.0,182585678854.0,8798110840.0,-4653647931.0,4476480668.0,20.0
