REST코드 | 요청명 | 영웅문4 TR코드
------------------------------------------------------------
ka00198 | 실시간종목조회순위 | 0198
ka01690 | 일별잔고수익률 (모의투자 미지원) | 1690
ka10001 | 주식기본정보요청 | 0292
ka10002 | 주식거래원요청 | -
ka10003 | 체결정보요청 | 0120
ka10004 | 주식호가요청 | -
ka10005 | 주식일주월시분요청 (종목/날짜 관련 시세 종합) | -
ka10006 | 주식시분요청 (시/분별 데이터) | -
ka10007 | 시세표성정보요청 (종목 상세 시세/호가) | -
ka10008 | 주식외국인종목별매매동향 | 0240
ka10009 | 주식기관요청 | -
ka10010 | 업종프로그램요청 | -
ka10011 | 신주인수권전체시세요청 | 0298
ka10013 | 신용매매동향요청 | 0141
ka10014 | 공매도추이요청 | 0142
ka10015 | 일별거래상세요청 | 0143
ka10016 | 신고저가요청 | 0161
ka10017 | 상하한가요청 | 0162
ka10018 | 고저가근접요청 | 0163
ka10019 | 가격급등락요청 | 0164
ka10020 | 호가잔량상위요청 | 0166
ka10021 | 호가잔량급증요청 | -
ka10022 | 잔량율급증요청 | 0167
ka10023 | 거래량급증요청 | 0168
ka10024 | 거래량갱신요청 | 0169
ka10025 | 매물대집중요청 | 0170
ka10026 | 고저PER요청 | 0171
ka10027 | 전일대비등락률상위요청 | 0181
ka10028 | 시가대비등락률요청 | 0182
ka10029 | 예상체결등락률상위요청 | 0183
ka10030 | 당일거래량상위요청 | 0184
ka10031 | 전일거래량상위요청 | 0185
ka10032 | 거래대금상위요청 | 0186
ka10033 | 신용비율상위요청 | 0188
ka10034 | 외인기간별매매상위요청 | 0242
ka10035 | 외인연속순매매상위요청 | 0243
ka10036 | 외인한도소진율증가상위 | 0244
ka10037 | 외국계창구매매상위요청 | 0248
ka10038 | 종목별증권사순위요청 | 0251
ka10039 | 증권사별매매상위요청 | 0252
ka10040 | 당일주요거래원요청 | 0254
ka10042 | 순매수거래원순위요청 | -
ka10043 | 거래원매물대분석요청 | 0042
ka10044 | 일별기관매매종목요청 | 0257
