id,date,ticker,PBR,PER,status
20150102_053210,20150102,053210,0.43,,OK
20150102_069920,20150102,069920,1.01,,OK
20150102_048410,20150102,048410,4.21,,OK
20150102_044340,20150102,044340,0.42,,OK
20150102_035000,20150102,035000,0.77,9.61,OK
20150102_078150,20150102,078150,0.68,,OK
20150102_095270,20150102,095270,1.22,,OK
20150105_010470,20150105,010470,0.53,6.38,OK
20150105_049720,20150105,049720,2.6,11.16,OK
20150105_060250,20150105,060250,2.08,14.67,OK
20150106_011000,20150106,011000,2.78,,OK
20150106_032680,20150106,032680,0.6,,OK
20150106_142280,20150106,142280,2.07,20.12,OK
20150107_001000,20150107,001000,4.06,,OK
20150108_082740,20150108,082740,8.47,40.05,OK
20150109_001840,20150109,001840,4.66,,OK
20150109_005965,20150109,005965,0.89,,OK
20150109_015710,20150109,015710,0.47,10.98,OK
20150109_042520,20150109,042520,6.04,,OK
20150109_115570,20150109,115570,0.33,,OK
20150109_086280,20150109,086280,1.28,8.7,OK
20150109_084370,20150109,084370,5.36,36.34,OK
20150109_140660,20150109,140660,,,OK
20150112_041920,20150112,041920,0.76,33.31,OK
20150112_052710,20150112,052710,0.87,,OK
20150112_199800,20150112,199800,10.46,65.17,OK
20150112_043710,20150112,043710,1.32,,OK
20150113_001210,20150113,001210,1.53,,OK
20150113_050090,20150113,050090,1.47,,OK
20150113_067630,20150113,067630,1.61,,OK
20150113_037950,20150113,037950,0.84,20.64,OK
20150114_001210,20150114,001210,1.53,,OK
20150113_124500,20150113,124500,4.84,25.49,OK
20150114_014130,20150114,014130,0.44,3.22,OK
20150114_032800,20150114,032800,0.47,,OK
20150114_095270,20150114,095270,1.22,,OK
20150115_003310,20150115,003310,0.61,6.24,OK
20150115_006910,20150115,006910,2.45,15.84,OK
20150114_118000,20150114,118000,0.46,164.5,OK
20150115_023960,20150115,023960,0.9,35.62,OK
20150115_043090,20150115,043090,0.21,,OK
20150115_043220,20150115,043220,0.61,,OK
20150115_069460,20150115,069460,1.28,15.03,OK
20150115_054300,20150115,054300,0.89,10.65,OK
20150115_091120,20150115,091120,0.75,,OK
20150116_004780,20150116,004780,0.37,6.8,OK
20150115_181710,20150115,181710,0.61,,OK
20150116_054300,20150116,054300,0.89,10.65,OK
20150116_054180,20150116,054180,0.24,,OK
20150116_033130,20150116,033130,0.6,14.89,OK
20150116_108230,20150116,108230,0.4,,OK
20150116_078340,20150116,078340,0.38,,OK
20150119_014190,20150119,014190,0.45,14.86,OK
20150119_011210,20150119,011210,0.4,9.88,OK
20150116_109960,20150116,109960,0.19,,OK
20150119_015260,20150119,015260,1.03,,OK
20150119_035620,20150119,035620,0.47,,OK
20150119_084870,20150119,084870,0.43,,OK
20150119_061040,20150119,061040,0.35,,OK
20150119_048410,20150119,048410,4.21,,OK
20150119_089790,20150119,089790,0.7,,OK
20150119_131100,20150119,131100,0.55,1314.0,OK
20150120_048410,20150120,048410,4.21,,OK
20150120_035620,20150120,035620,0.47,,OK
