date,code,PER,PBR
20151106,150840,,56.8
20151106,136660,,
20151106,131290,13.77,1.65
20151106,142280,20.12,2.07
20151106,161000,,0.71
20151106,138070,,0.46
20151106,138360,4.03,0.78
20151106,180400,,32.11
20151106,151860,4.71,0.16
20151106,131370,41.25,1.39
20151106,192080,7.22,0.9
20151106,159580,55.34,0.99
20151106,185190,,
20151106,163560,15.53,0.4
20151106,134060,11.33,0.69
20151106,180640,15.74,2.05
20151106,134790,,0.59
20151106,177830,15.81,0.44
20151106,141080,3100.0,9.49
20151106,175140,,2.27
20151106,192250,66.81,0.86
20151106,192410,,
20151106,206640,12.12,1.3
20151106,202960,,
20151106,210540,6.44,0.46
20151106,200230,,0.69
20151106,195990,,1.44
20151106,200350,,1.39
20151106,196700,10.16,0.51
20151106,205500,,4.52
20151106,200710,,2.28
20151106,214180,6.99,0.98
20151106,217950,,
20151106,214430,29.3,4.27
20151106,223220,,
20151106,219130,77.43,2.18
20151106,229500,,
20151106,194480,13.63,2.33
20151106,900100,,0.89
20151106,222800,,4.52
20151106,950130,,0.23
20151106,900110,4.94,0.1
20151109,000070,28.92,0.37
20151109,000157,,5.67
20151109,000320,6.69,0.51
20151109,000725,,0.73
20151109,000860,24.3,0.25
20151109,001515,,1.55
20151109,001260,11.94,0.57
20151109,001527,,2.36
20151109,001200,6.39,0.29
20151109,001740,26.74,0.45
20151109,001340,42.7,1.19
20151109,001780,18.65,0.61
20151109,003100,3.8,0.28
20151109,004650,7.04,0.54
20151109,004105,,1.17
20151109,002785,224.12,2.13
20151109,003530,22.92,0.61
20151109,002720,13.72,0.9
20151109,004840,275.62,0.22
20151109,005110,0.46,1.24
20151109,006060,7.68,0.56
20151109,005750,10.75,0.44
20151109,005740,5.09,0.29
20151109,006840,,0.24
20151109,005745,5.98,0.34
20151109,006910,15.84,2.45
20151109,007370,2.32,0.5
20151109,007120,,0.44
20151109,007280,24.5,0.46
20151109,006380,,9.13
20151109,005420,,3.08
20151109,008870,29.14,0.55
20151109,009140,16.73,0.34
20151109,008770,,1.29
20151109,007720,,0.77
20151109,008250,,0.24
20151109,008930,43.97,3.02
20151109,008775,,1.14
20151109,009440,,0.12
20151109,009810,4.01,0.58
20151109,009730,,0.86
20151109,010470,6.38,0.53
20151109,011040,44.69,0.72
20151109,010820,13.61,2.9
20151109,012030,2.56,0.6
20151109,011155,144.38,6.98
20151109,010280,6.41,0.85
20151109,010120,56.61,6.89
20151109,011200,4.48,0.77
20151109,012700,5.53,0.22
20151109,012860,14.97,0.42
20151109,014130,3.22,0.44
20151109,013000,11.97,0.65
20151109,013030,10.1,0.95
20151109,014915,52.07,2.25
20151109,014200,,0.57
20151109,014190,14.86,0.45
20151109,014910,13.43,0.58
20151109,016380,2.9,0.25
20151109,016600,,0.31
20151109,018700,,1.06
20151109,021880,52.0,0.71
20151109,023440,,1.52
20151109,024850,,1.18
20151109,021080,7.36,0.59
20151109,023150,,0.48
20151109,019570,,0.49
20151109,023960,35.62,0.9
20151109,021045,,1.35
20151109,020710,2.05,0.45
20151109,023350,7.72,0.3
20151109,025820,11.28,1.12
20151109,026940,30.15,0.31
20151109,027740,,1.25
20151109,027410,4.35,0.21
20151109,027830,23.33,0.86
20151109,025560,3.59,0.5
20151109,025880,6.26,0.55
20151109,025870,,1.4
20151109,028050,8.77,1.14
20151109,029480,,0.55
20151109,032980,,0.83
20151109,030350,,1.15
20151109,032080,33.6,0.23
20151109,032850,10.4,1.04
20151109,030210,81.4,0.37
20151109,030720,5.09,0.55
20151109,033560,4.2,0.3
20151109,031820,6.8,0.35
20151109,033340,,2.63
20151109,030530,,2.38
20151109,036630,,0.46
20151109,036540,,1.49
20151109,036180,,1.89
20151109,035600,8.33,0.56
20151109,034230,17.7,0.86
20151109,036620,16.88,4.31
20151109,037070,,1.56
20151109,036480,,0.77
20151109,035810,12.85,0.38
20151109,037370,104.81,0.87
20151109,039980,23.52,1.57
20151109,037400,,0.17
20151109,039010,4.93,0.55
20151109,041520,,0.44
20151109,040350,,1.23
20151109,042040,,0.53
20151109,038110,73.12,0.33
