재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기말	전기말	전전기말	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_AssetsAbstract	자산 [abstract]			
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CurrentAssets	   유동자산	14,791,748,982	16,139,731,967	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CashAndCashEquivalents	      현금및현금성자산	8,464,038,748	6,709,567,383	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_ShortTermDepositsNotClassifiedAsCashEquivalents	      단기금융상품	61,141,150	58,024,050	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_TradeAndOtherCurrentReceivables	      매출채권 및 기타채권	2,053,489,675	5,259,536,143	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_Inventories	      재고자산	2,663,345,120	1,529,764,779	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_ShortTermPrepaidConstructionCosts	      선급공사원가	1,354,163,008	2,072,778,102	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CurrentTaxAssets	      당기법인세자산	722,464	2,122,044	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OtherCurrentAssets	      기타유동자산	194,848,817	507,939,466	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_NoncurrentAssets	   비유동자산	34,210,546,228	34,923,747,600	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_LongTermTradeAndOtherNonCurrentReceivablesGross	      장기성기타채권	383,874,700	333,874,700	
재무상태표, 유동/비유동법-별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_LongTermDepositsNotClassifiedAsCashEquivalents	      장기금융상품	968,231,621	968,231,621	
