재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기말	전기말	전전기말	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_AssetsAbstract	자산 [abstract]			
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CurrentAssets	   유동자산	17,092,745,843	18,079,335,574	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CashAndCashEquivalents	      현금및현금성자산	8,833,443,491	6,937,695,774	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_ShortTermDepositsNotClassifiedAsCashEquivalents	      단기금융상품	61,141,150	58,024,050	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_TradeAndOtherCurrentReceivables	      매출채권 및 기타채권	2,232,528,503	6,030,667,254	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_Inventories	      재고자산	2,740,603,192	1,752,878,073	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_ShortTermPrepaidConstructionCosts	      선급공사원가	2,940,540,256	2,522,878,628	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CurrentTaxAssets	      당기법인세자산	79,860,273	2,122,044	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OtherCurrentAssets	      기타유동자산	204,628,978	775,069,751	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_NoncurrentAssets	   비유동자산	34,524,836,001	35,249,885,638	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_LongTermTradeAndOtherNonCurrentReceivablesGross	      장기성기타채권	399,043,317	349,781,715	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_LongTermDepositsNotClassifiedAsCashEquivalents	      장기금융상품	968,231,621	968,231,621	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_NonCurrentAvailableForSaleFinancialAssets	      매도가능금융자산	1,529,244,648	0	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition	      당기손익-공정가치 금융자산	1,008,081,065	2,274,771,897	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_InvestmentsInAssociates	      관계기업에 대한 투자자산	27,898,993,612	1,008,081,065	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_PropertyPlantAndEquipment	      유형자산	200,647,073	28,022,559,605	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_InvestmentProperty	      투자부동산	1,404,091,559	1,416,298,675	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_IntangibleAssetsOtherThanGoodwill	      무형자산	1,100,253,396	1,188,416,354	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OtherNonCurrentAssets	      기타비유동자산	16,249,710	21,744,706	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_Assets	   자산총계	51,617,581,844	53,329,221,212	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_LiabilitiesAbstract	부채 [abstract]			
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CurrentLiabilities	   유동부채	14,094,464,253	17,221,417,861	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_TradeAndOtherCurrentPayables	      매입채무 및 기타채무	1,936,944,867	2,655,260,816	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ShorttermBorrowings	      단기차입금	7,695,570,734	8,930,473,470	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CurrentPortionOfLongtermBorrowings	      유동성장기부채	0	740,000,000	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_CurrentPortionOfConvertibleBonds	      전환사채	1,560,137,084	1,579,180,471	
재무상태표, 유동/비유동법-연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CurrentLeaseLiabilities	      유동리스부채	110,114,010	0	
