재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기반기	전기반기	전기	전전기
현금흐름표, 간접법 - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CashFlowsFromUsedInOperatingActivities	영업활동으로 인한 현금흐름	2,886,528,531	501,202,657		
현금흐름표, 간접법 - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_ProfitLossForStatementOfCashFlows	   반기순손실	498,609,132	-1,664,162,200		
현금흐름표, 간접법 - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_AdjustmentsForReconcileProfitLoss	   가감	1,256,767,744	1,564,837,584		
현금흐름표, 간접법 - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_AdjustmentsForBadDebtExpenses	      대손상각비	1,545,698	206,554,259		
현금흐름표, 간접법 - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_AdjustmentsForDepreciationExpense	      감가상각비	897,221,026	818,338,052		
현금흐름표, 간접법 - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_AdjustmentsForAmortisationExpense	      무형자산상각비	88,162,958	103,273,390		
현금흐름표, 간접법 - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_AdjustmentsForOtherBadDebtExpenses	      기타의 대손상각비	110,000	74,954,315		
현금흐름표, 간접법 - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_AdjustmentsForLossesOnForeignExchangeTranslations	      외화환산손실	185,559,645	35,775,996		
현금흐름표, 간접법 - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_AdjustmentsForInterestExpenses	      이자비용	274,148,283	307,058,573		
현금흐름표, 간접법 - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_AdjustmentsForIncomeTaxExpense	      법인세비용(수익)	1,554,858	103,457,318		
