재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기 3개월 	당기 반기 누적 	전기 반기 3개월 	전기 반기 누적 	전기	전전기
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_Revenue	매출액	4,820,119,278	10,875,385,329	6,030,463,236	12,115,188,063		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CostOfSales	매출원가	4,036,299,281	8,692,998,747	5,425,308,524	12,029,901,597		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_GrossProfit	매출총이익	783,819,997	2,182,386,582	605,154,712	85,286,466		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	entity00378363_udf_IS_2018117183230938_TotalSellingGeneralAdministrativeExpenses	   판매비	342,761,689	499,366,204	129,486,199	340,345,779		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	entity00378363_udf_IS_2018117183232466_TotalSellingGeneralAdministrativeExpenses	   관리비	541,177,563	1,033,962,279	706,456,248	1,224,699,244		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익	-100,119,255	649,058,099	-230,787,735	-1,479,758,557		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_FinanceIncome	금융수익	-2,737,801	10,781,072	4,976,745	9,876,898		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_FinanceCosts	금융비용	129,979,075	274,148,283	152,533,156	307,058,573		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OtherGains	기타영업수익	199,747,279	370,724,266	55,900,401	409,637,934		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OtherLosses	기타영업비용	176,300,554	256,251,164	129,436,897	193,402,584		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익(손실)	-209,389,406	500,163,990	-451,880,642	-1,560,704,882		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세수익(비용)	1,554,858	1,554,858	0	103,457,318		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ProfitLossFromContinuingOperations	계속영업이익(손실)						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ProfitLoss	당기순이익(손실)	-210,944,264	498,609,132	-451,880,642	-1,664,162,200		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_OtherComprehensiveIncome	기타포괄손익	0	0	0	0		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	   후속적으로 당기손익으로 재분류될 수 있는 항목						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax	      매도가능금융자산평가손익(세후기타포괄손익)			0	0		
