재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기 반기 3개월 	당기 반기 누적 	전기 반기 3개월 	전기 반기 누적 	전기	전전기
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_Revenue	매출액	4,942,146,133	12,410,788,534	6,743,873,607	14,280,702,110		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_CostOfSales	매출원가	4,113,892,557	9,969,442,913	6,026,609,973	13,945,020,409		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_GrossProfit	매출총이익	828,253,576	2,441,345,621	717,263,634	335,681,701		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	entity00378363_udf_IS_2018117163731839_TotalSellingGeneralAdministrativeExpenses	   판매비	371,081,438	546,761,571	150,046,445	376,123,394		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	entity00378363_udf_IS_2018117163737967_TotalSellingGeneralAdministrativeExpenses	   관리비	628,824,240	1,216,967,394	794,638,735	1,412,478,311		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OperatingIncomeLoss	영업이익	-171,652,102	677,616,656	-227,421,546	-1,452,920,004		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_FinanceIncome	금융수익	-2,886,485	10,781,072	5,026,710	10,319,768		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_FinanceCosts	금융비용	130,570,245	274,739,453	152,533,156	307,058,573		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OtherGains	기타영업수익	199,747,279	370,724,266	55,439,218	424,385,219		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OtherLosses	기타영업비용	178,469,778	269,191,190	129,436,897	193,402,584		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익(손실)	-283,831,331	515,191,351	-448,925,671	-1,518,676,174		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세수익(비용)	681,641	-7,861,260	13,868,917	117,659,849		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ProfitLoss	당기순이익(손실)	-284,512,972	507,330,091	-462,794,588	-1,636,336,023		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_OtherComprehensiveIncome	기타포괄손익	3,063,106	-3,058,393	-35,426,939	-36,609,756		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	   후속적으로 당기손익으로 재분류될 수 있는 항목						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax	      해외사업장환산외환차이(세후기타포괄손익)	3,927,058	-3,921,017	-45,419,153	-46,935,585		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	entity00378363_udf_IS_2018117163529528_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	      당기손익으로 재분류될 수 있는 항목의 법인세	-863,952	862,624	9,992,214	10,325,829		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ComprehensiveIncome	반기포괄이익(손실)	-281,449,866	504,271,698	-498,221,527	-1,672,945,779		
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToAbstract	당기순이익(손실)의 귀속 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2019-09-30	반기보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	   지배기업 소유주지분	-284,512,972	507,330,091	-462,794,588	-1,636,336,023		
