날짜,open,high,low,close,volume,amount,market_cap,shares_out,bps,per,pbr,eps,div_rate,div_amount,usdkrw,us10y_yield,theme_code,theme_name,listing_status,kr10y_yield
2015-01-02,26799,26799,26540,26600,175499,0.22607385079125847,195908118210000,147299337,848999,6.72,1.57,197841,1.08,14300,1093.5999755859375,2.122999906539917,278,반도체,Listed,0.0
2015-01-05,26720,26720,26260,26660,202790,0.2255639097744361,196350016221000,147299337,848999,6.74,1.57,197841,1.07,14300,1111.0,2.0390000343322754,278,반도체,Listed,0.0
2015-01-06,26300,26340,25760,25900,304710,-2.8507126781695424,190752641415000,147299337,848999,6.55,1.53,197841,1.1,14300,1108.5,1.9630000591278076,278,반도체,Listed,0.0
2015-01-07,25880,26220,25640,26140,286455,0.9266409266409266,192520233459000,147299337,848999,6.61,1.54,197841,1.09,14300,1097.300048828125,1.9539999961853027,278,반도체,Listed,0.0
2015-01-08,26780,26780,26199,26280,289552,0.5355776587605203,193551328818000,147299337,848999,6.64,1.55,197841,1.09,14300,1097.800048828125,2.0160000324249268,278,반도체,Listed,0.0
2015-01-09,26280,26440,26280,26280,186248,0.0,193551328818000,147299337,848999,6.64,1.55,197841,1.09,14300,1094.300048828125,1.9709999561309814,278,반도체,Listed,0.0
2015-01-12,26260,26379,26020,26320,166508,0.15220700152207,193845927492000,147299337,848999,6.65,1.55,197841,1.09,14300,1081.800048828125,1.9119999408721924,278,반도체,Listed,0.0
2015-01-13,26280,26800,26000,26780,245868,1.7477203647416413,197233812243000,147299337,848999,6.77,1.58,197841,1.07,14300,1081.4000244140625,1.8899999856948853,278,반도체,Listed,0.0
2015-01-14,26780,27100,26700,26900,286645,0.4480955937266617,198117608265000,147299337,848999,6.8,1.58,197841,1.06,14300,1077.0999755859375,1.8370000123977661,278,반도체,Listed,0.0
2015-01-15,26900,26979,26580,26680,282078,-0.8178438661710037,196497315558000,147299337,848999,6.74,1.57,197841,1.07,14300,1082.0,1.774999976158142,278,반도체,Listed,0.0
2015-01-16,26680,26680,26260,26320,271370,-1.3493253373313343,193845927492000,147299337,848999,6.65,1.55,197841,1.09,14300,1075.5,1.815000057220459,278,반도체,Listed,0.0
2015-01-19,26580,26980,26400,26860,133459,2.0516717325227964,197823009591000,147299337,848999,6.79,1.58,197841,1.06,14300,1078.0,1.815000057220459,278,반도체,Listed,0.0
2015-01-20,27000,27440,26900,27440,265561,2.1593447505584513,202094690364000,147299337,848999,6.93,1.62,197841,1.04,14300,1079.0999755859375,1.8070000410079956,278,반도체,Listed,0.0
2015-01-21,27340,27900,27200,27900,332253,1.6763848396501457,205482575115000,147299337,848999,7.05,1.64,197841,1.03,14300,1086.699951171875,1.8530000448226929,278,반도체,Listed,0.0
2015-01-22,27960,27979,27560,27560,359154,-1.2186379928315414,202978486386000,147299337,848999,6.97,1.62,197841,1.04,14300,1081.9000244140625,1.8960000276565552,278,반도체,Listed,0.0
2015-01-23,27999,27999,27540,27720,257175,0.5805515239477503,204156881082000,147299337,848999,7.01,1.63,197841,1.03,14300,1084.699951171875,1.8170000314712524,278,반도체,Listed,0.0
2015-01-26,27500,27900,27280,27780,203070,0.21645021645021645,204598779093000,147299337,848999,7.02,1.64,197841,1.03,14300,1084.5,1.8279999494552612,278,반도체,Listed,0.0
2015-01-27,27500,27999,27480,28000,199144,0.7919366450683946,206219071800000,147299337,848999,7.08,1.65,197841,1.02,14300,1079.300048828125,1.8250000476837158,278,반도체,Listed,0.0
2015-01-28,27720,27800,27479,27560,216630,-1.5714285714285716,202978486386000,147299337,848999,6.97,1.62,197841,1.04,14300,1076.699951171875,1.7239999771118164,278,반도체,Listed,0.0
2015-01-29,27360,27900,27140,27200,274045,-1.3062409288824384,200327098320000,147299337,848999,6.87,1.6,197841,1.05,14300,1084.4000244140625,1.7510000467300415,278,반도체,Listed,0.0
2015-01-30,27200,27540,27200,27300,322200,0.3676470588235294,201063595005000,147299337,848999,6.9,1.61,197841,1.05,14300,1098.800048828125,1.6749999523162842,278,반도체,Listed,0.0
2015-02-02,27299,27540,27120,27360,210420,0.21978021978021978,201505493016000,147299337,848999,6.91,1.61,197841,1.05,14300,1099.0,1.6729999780654907,278,반도체,Listed,0.0
2015-02-03,27600,27600,27180,27320,113088,-0.14619883040935672,201210894342000,147299337,848999,6.9,1.61,197841,1.05,14300,1098.0999755859375,1.7799999713897705,278,반도체,Listed,0.0
2015-02-04,27500,27620,27180,27180,186578,-0.5124450951683748,200179798983000,147299337,848999,6.87,1.6,197841,1.05,14300,1091.300048828125,1.7970000505447388,278,반도체,Listed,0.0
2015-02-05,27180,27379,26920,27160,135408,-0.07358351729212656,200032499646000,147299337,848999,6.86,1.6,197841,1.05,14300,1087.5999755859375,1.815000057220459,278,반도체,Listed,0.0
2015-02-06,26919,27480,26720,27440,160101,1.0309278350515463,202094690364000,147299337,848999,6.93,1.62,197841,1.04,14300,1084.800048828125,1.937999963760376,278,반도체,Listed,0.0
2015-02-09,27200,27980,27140,27900,173870,1.6763848396501457,205482575115000,147299337,848999,7.05,1.64,197841,1.03,14300,1096.699951171875,1.9479999542236328,278,반도체,Listed,0.0
2015-02-10,28000,28000,27540,27560,130387,-1.2186379928315414,202978486386000,147299337,848999,6.97,1.62,197841,1.04,14300,1094.0999755859375,1.9910000562667847,278,반도체,Listed,0.0
2015-02-11,27480,27480,27080,27100,199476,-1.6690856313497822,199590601635000,147299337,848999,6.85,1.6,197841,1.06,14300,1097.5999755859375,1.9880000352859497,278,반도체,Listed,0.0
2015-02-12,26800,27160,26620,26880,214964,-0.8118081180811807,197970308928000,147299337,848999,6.79,1.58,197841,1.06,14300,1105.699951171875,1.9859999418258667,278,반도체,Listed,0.0
2015-02-13,27200,27220,26900,27220,130458,1.2648809523809523,200474397657000,147299337,848999,6.88,1.6,197841,1.05,14300,1101.199951171875,2.0209999084472656,278,반도체,Listed,0.0
2015-02-16,27360,27480,27220,27480,124530,0.9551800146950772,202389289038000,147299337,848999,6.94,1.62,197841,1.04,14300,1095.4000244140625,2.0209999084472656,278,반도체,Listed,0.0
2015-02-17,27479,27539,27280,27540,114900,0.21834061135371177,202831187049000,147299337,848999,6.96,1.62,197841,1.04,14300,1100.199951171875,2.1449999809265137,278,반도체,Listed,0.0
2015-02-23,27560,27800,27320,27340,306036,-0.7262164124909223,201358193679000,147299337,848999,6.91,1.61,197841,1.05,14300,1109.0999755859375,2.059000015258789,278,반도체,Listed,0.0
2015-02-24,27699,27780,27280,27340,217265,0.0,201358193679000,147299337,848999,6.91,1.61,197841,1.05,14300,1107.699951171875,1.9880000352859497,278,반도체,Listed,0.0
2015-02-25,27600,27700,27460,27580,167485,0.8778346744696415,203125785723000,147299337,848999,6.97,1.62,197841,1.04,14300,1111.300048828125,1.968999981880188,278,반도체,Listed,0.0
2015-02-26,27580,27600,27360,27500,163583,-0.290065264684554,202536588375000,147299337,848999,6.95,1.62,197841,1.04,14300,1098.6800537109375,2.0160000324249268,278,반도체,Listed,0.0
2015-02-27,27500,27520,27140,27140,260188,-1.309090909090909,199885200309000,147299337,848999,6.86,1.6,197841,1.05,14300,1100.6700439453125,2.002000093460083,278,반도체,Listed,0.0
2015-03-02,27500,28460,27340,28460,436112,4.8636698599852615,209606956551000,147299337,848999,7.19,1.68,197841,1.0,14300,1099.010009765625,2.0840001106262207,278,반도체,Listed,0.0
2015-03-03,28699,28740,28119,28360,274976,-0.35137034434293746,208870459866000,147299337,848999,7.17,1.67,197841,1.01,14300,1100.5899658203125,2.121999979019165,278,반도체,Listed,0.0
2015-03-04,28220,28800,28200,28740,232062,1.3399153737658673,211669147269000,147299337,848999,7.26,1.69,197841,1.0,14300,1094.9599609375,2.122999906539917,278,반도체,Listed,0.0
2015-03-05,28780,28860,28340,28440,192312,-1.0438413361169103,209459657214000,147299337,848999,7.19,1.67,197841,1.01,14300,1099.25,2.111999988555908,278,반도체,Listed,0.0
2015-03-06,28280,28980,28120,28840,234670,1.4064697609001406,212405643954000,147299337,848999,7.29,1.7,197841,0.99,14300,1099.8900146484375,2.240000009536743,278,반도체,Listed,0.0
2015-03-09,28800,28800,28400,28400,156292,-1.5256588072122053,209165058540000,147299337,848999,7.18,1.67,197841,1.01,14300,1108.81005859375,2.194999933242798,278,반도체,Listed,0.0
2015-03-10,28679,28860,28400,28420,208397,0.07042253521126761,209312357877000,147299337,848999,7.18,1.67,197841,1.01,14300,1113.5,2.125999927520752,278,반도체,Listed,0.0
2015-03-11,28380,29580,28360,29480,422173,3.729767769176636,217119222738000,147299337,848999,7.45,1.74,197841,0.97,14300,1124.8599853515625,2.1089999675750732,278,반도체,Listed,0.0
2015-03-12,29200,29460,28940,28940,383064,-1.8317503392130257,213142140639000,147299337,848999,7.31,1.7,197841,0.99,14300,1128.97998046875,2.0959999561309814,278,반도체,Listed,0.0
2015-03-13,29220,29580,29100,29140,188262,0.691085003455425,214615134009000,147299337,848999,7.36,1.72,197841,0.98,14300,1123.02001953125,2.111999988555908,278,반도체,Listed,0.0
2015-03-16,29160,29740,29100,29400,179491,0.8922443376801648,216530025390000,147299337,848999,7.43,1.73,197841,0.97,14300,1136.219970703125,2.0980000495910645,278,반도체,Listed,0.0
2015-03-17,29399,29999,29200,29940,273223,1.8367346938775513,220507107489000,147299337,848999,7.57,1.76,197841,0.96,14300,1129.0,2.058000087738037,278,반도체,Listed,0.0
2015-03-18,29920,30120,29720,30060,249287,0.4008016032064128,221390903511000,147299337,848999,7.6,1.77,197841,0.95,14300,1127.1600341796875,1.9509999752044678,278,반도체,Listed,0.0
2015-03-19,30200,30200,29400,29400,264516,-2.19560878243513,216530025390000,147299337,848999,7.43,1.73,197841,0.97,14300,1109.8900146484375,1.9769999980926514,278,반도체,Listed,0.0
2015-03-20,29500,29600,29200,29280,254099,-0.40816326530612246,215646229368000,147299337,848999,7.4,1.72,197841,0.98,14300,1119.300048828125,1.9299999475479126,278,반도체,Listed,0.0
2015-03-23,29240,29480,29160,29340,162458,0.20491803278688525,216088127379000,147299337,848999,7.42,1.73,197841,0.97,14300,1111.780029296875,1.9149999618530273,278,반도체,Listed,0.0
2015-03-24,29099,29560,29099,29520,182263,0.6134969325153374,217413821412000,147299337,848999,7.46,1.74,197841,0.97,14300,1103.4300537109375,1.878000020980835,278,반도체,Listed,0.0
2015-03-25,29740,29760,29440,29700,187381,0.6097560975609756,218739515445000,147299337,848999,7.51,1.75,197841,0.96,14300,1101.6700439453125,1.9199999570846558,278,반도체,Listed,0.0
2015-03-26,29000,29120,28420,28420,420119,-4.30976430976431,209312357877000,147299337,848999,7.18,1.67,197841,1.01,14300,1098.97998046875,2.006999969482422,278,반도체,Listed,0.0
2015-03-27,28300,28960,28300,28420,321316,0.0,209312357877000,147299337,848999,7.18,1.67,197841,1.01,14300,1102.949951171875,1.9479999542236328,278,반도체,Listed,0.0
2015-03-30,28500,28680,28240,28560,179110,0.49261083743842365,210343453236000,147299337,848999,7.22,1.68,197841,1.0,14300,1105.5,1.9630000591278076,278,반도체,Listed,0.0
2015-03-31,28979,29040,28600,28820,196853,0.9103641456582634,212258344617000,147299337,848999,7.28,1.7,197841,0.99,14300,1107.0999755859375,1.934000015258789,278,반도체,Listed,0.0
2015-04-01,28740,28740,28400,28460,145321,-1.2491325468424705,209606956551000,147299337,848999,7.19,1.68,197841,1.0,14300,1097.8699951171875,1.8680000305175781,278,반도체,Listed,0.0
2015-04-02,28680,28799,28460,28680,138068,0.7730147575544624,211227249258000,147299337,848999,7.25,1.69,197841,1.0,14300,1089.1199951171875,1.9040000438690186,278,반도체,Listed,0.0
2015-04-03,28680,28799,28399,28680,125403,0.0,211227249258000,147299337,848999,7.25,1.69,197841,1.0,14300,1089.1199951171875,1.9040000438690186,278,반도체,Listed,0.0
2015-04-06,28860,29800,28700,29400,211652,2.510460251046025,216530025390000,147299337,848999,7.43,1.73,197841,0.97,14300,1089.1199951171875,1.9040000438690186,278,반도체,Listed,0.0
2015-04-07,29560,29700,29240,29240,190521,-0.5442176870748299,215351630694000,147299337,848999,7.39,1.72,197841,0.98,14300,1092.3199462890625,1.8930000066757202,278,반도체,Listed,0.0
2015-04-08,29400,29700,29200,29580,155468,1.1627906976744187,217855719423000,147299337,848999,7.48,1.74,197841,0.97,14300,1090.1500244140625,1.8949999809265137,278,반도체,Listed,0.0
2015-04-09,29400,29780,29400,29660,182151,0.2704530087897228,218444916771000,147299337,848999,7.5,1.75,197841,0.96,14300,1093.7900390625,1.9579999446868896,278,반도체,Listed,0.0
2015-04-10,29600,29880,29560,29800,199202,0.4720161834120027,219476012130000,147299337,848999,7.53,1.76,197841,0.96,14300,1093.7900390625,1.9509999752044678,278,반도체,Listed,0.0
2015-04-13,29580,29819,29360,29580,205866,-0.738255033557047,217855719423000,147299337,848999,7.48,1.74,197841,0.97,14300,1099.8900146484375,1.9390000104904175,278,반도체,Listed,0.0
2015-04-14,29699,29699,29300,29480,188595,-0.3380662609871535,217119222738000,147299337,848999,7.45,1.74,197841,0.97,14300,1090.300048828125,1.9040000438690186,278,반도체,Listed,0.0
2015-04-15,29199,29400,28539,28920,271021,-1.8995929443690638,212994841302000,147299337,848999,7.31,1.7,197841,0.99,14300,1093.6199951171875,1.899999976158142,278,반도체,Listed,0.0
2015-04-16,29239,29540,28940,29540,215247,2.143845089903181,217561120749000,147299337,848999,7.47,1.74,197841,0.97,14300,1082.5899658203125,1.878000020980835,278,반도체,Listed,0.0
2015-04-17,29539,29559,28940,29000,203446,-1.8280297901150981,213584038650000,147299337,848999,7.33,1.71,197841,0.99,14300,1082.5899658203125,1.850000023841858,278,반도체,Listed,0.0
2015-04-20,28920,28960,28460,28600,247898,-1.3793103448275863,210638051910000,147299337,848999,7.23,1.68,197841,1.0,14300,1081.1800537109375,1.8949999809265137,278,반도체,Listed,0.0
2015-04-21,28420,28900,28399,28880,237053,0.9790209790209791,212700242628000,147299337,848999,7.3,1.7,197841,0.99,14300,1081.3199462890625,1.9160000085830688,278,반도체,Listed,0.0
2015-04-22,28879,29460,28720,29220,253111,1.1772853185595569,215204331357000,147299337,848999,7.38,1.72,197841,0.98,14300,1083.0,1.972000002861023,278,반도체,Listed,0.0
2015-04-23,29400,29400,28800,29020,184903,-0.6844626967830253,213731337987000,147299337,848999,7.33,1.71,197841,0.99,14300,1080.02001953125,1.9470000267028809,278,반도체,Listed,0.0
2015-04-24,28979,29100,28000,28200,381798,-2.8256374913852516,207692065170000,147299337,848999,7.13,1.66,197841,1.01,14300,1080.02001953125,1.9170000553131104,278,반도체,Listed,0.0
2015-04-27,28200,28220,27500,27900,330343,-1.0638297872340425,205482575115000,147299337,848999,7.05,1.64,197841,1.03,14300,1067.81005859375,1.9240000247955322,278,반도체,Listed,0.0
2015-04-28,27799,28000,27180,27320,313946,-2.078853046594982,201210894342000,147299337,848999,6.9,1.61,197841,1.05,14300,1062.8499755859375,1.9730000495910645,278,반도체,Listed,0.0
2015-04-29,27339,27880,27279,27700,217913,1.390922401171303,204009581745000,147299337,848999,7.0,1.63,197841,1.03,14300,1068.969970703125,2.0350000858306885,278,반도체,Listed,0.0
2015-04-30,27699,28360,27580,28200,367057,1.8050541516245486,207692065170000,147299337,848999,7.13,1.66,197841,1.01,14300,1075.06005859375,2.0460000038146973,278,반도체,Listed,0.0
2015-05-04,28140,28460,27940,28000,165674,-0.7092198581560284,206219071800000,147299337,953266,9.14,1.47,153105,1.43,20000,1078.75,2.134999990463257,278,반도체,Listed,0.0
2015-05-06,27800,27819,27120,27240,265410,-2.7142857142857144,200621696994000,147299337,953266,8.9,1.43,153105,1.47,20000,1078.6700439453125,2.240000009536743,278,반도체,Listed,0.0
2015-05-07,27240,27500,27080,27400,205148,0.5873715124816447,201800091690000,147299337,953266,8.95,1.44,153105,1.46,20000,1091.8900146484375,2.184000015258789,278,반도체,Listed,0.0
2015-05-08,27319,27400,26760,26760,189762,-2.335766423357664,197086512906000,147299337,953266,8.74,1.4,153105,1.49,20000,1091.8900146484375,2.1500000953674316,278,반도체,Listed,0.0
2015-05-11,27200,27200,26719,26720,192809,-0.14947683109118087,196791914232000,147299337,953266,8.73,1.4,153105,1.5,20000,1095.949951171875,2.2739999294281006,278,반도체,Listed,0.0
2015-05-12,26900,27060,26480,26620,212664,-0.37425149700598803,196055417547000,147299337,953266,8.69,1.4,153105,1.5,20000,1092.3800048828125,2.259999990463257,278,반도체,Listed,0.0
2015-05-13,26979,26979,26520,26660,197545,0.15026296018031557,196350016221000,147299337,953266,8.71,1.4,153105,1.5,20000,1091.4000244140625,2.2820000648498535,278,반도체,Listed,0.0
2015-05-14,26820,26860,26559,26800,169770,0.5251312828207052,197381111580000,147299337,953266,8.75,1.41,153105,1.49,20000,1088.239990234375,2.239000082015991,278,반도체,Listed,0.0
2015-05-15,27100,27120,26420,26520,178447,-1.0447761194029852,195318920862000,147299337,953266,8.66,1.39,153105,1.51,20000,1088.239990234375,2.1410000324249268,278,반도체,Listed,0.0
2015-05-18,26700,26700,26180,26400,192537,-0.4524886877828055,194435124840000,147299337,953266,8.62,1.38,153105,1.52,20000,1088.239990234375,2.2279999256134033,278,반도체,Listed,0.0
