Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,"■ 영웅문4(HTS) - 키움 REST API, 키움 OPEN API + TR 매칭",,,
,,,,
,업데이트 일자  ,2025.11.06,,
,공식 홈페이지 주소,https://openapi.kiwoom.com/,,
,,,,
,영웅문4 화면번호,영웅문4 화면명,키움 REST API,키움 OPEN API + 
,0361,실시간계좌관리(T)-예수금,kt00001 예수금상세현황요청,OPW00001 예수금상세현황요청
,0362,예수금상세현황,kt00001 예수금상세현황요청,OPW00001 예수금상세현황요청
,0120,미니주식체결,ka10003 체결정보요청,OPT10003 체결정보요청
,0122,당일전일체결,"ka10055 당일전일체결량요청
ka10084 당일전일체결요청","OPT10055 당일전일체결대량요청
OPT10084 당일전일체결요청"
,0124,일별주가,ka10086 일별주가요청,OPT10086 일별주가요청
,0125,시간대별 전일비거래비중,-,OPT10071 시간대별전일비거래비중요청
,0126,미니거래원변동,ka10040 당일주요거래원요청,OPT10040 당일주요거래원
,0129,미니거래원,-,OPT10070 당일주요거래원요청
,0254,당일주요거래원,ka10040 당일주요거래원요청,-
,0141,종목별 신용매매동향,ka10013 신용매매동향요청,OPT10013 신용매매동향요청
,0142,종목별 공매도추이,ka10014 공매도추이요청,OPT10014 공매도추이요청
,0143,일별거래상세,ka10015 일별거래상세요청,OPT10015 일별거래상세요청
,0161,신고가_신저가,ka10016 신고저가요청,OPT10016 신고저가요청
,0162,상한가하한가,ka10017 상하한가요청,OPT10017 상하한가요청
,0163,고가_저가근접,ka10018 고저가근접요청,OPT10018 고저가근접요청
,0164,가격급등_급락,ka10019 가격급등락요청,OPT10019 가격급등락요청
,0165,호가잔량상위,ka10020 호가잔량상위요청,OPT10020 호가잔량상위요청
,0166,호가잔량급증,ka10020 호가잔량상위요청,OPT10020 호가잔량상위요청
,0167,잔량급증율,ka10022 잔량율급증요청,OPT10022 잔량율급증요청
,0168,거래량급증,ka10023 거래량급증요청,OPT10023 거래량급증요청
,0169,거래량갱신,ka10024 거래량갱신요청,OPT10024 거래량갱신요청
,0170,매물대집중,ka10025 매물대집중요청,OPT10025 매물대집중요청
,0171,고PER_저PER,ka10026 고저PER요청,OPT10026 고저PER요청
,0181,전일대비등락률상위,ka10027 전일대비등락률상위요청,OPT10027 전일대비등락률상위요청
,0182,시가대비등락률상위,ka10028 시가대비등락률요청,OPT10028 시가대비등락률요청
,0183,예상체결등락률상위,ka10029 예상체결등락률상위요청,OPT10029 예상체결등락률상위요청
,0184,당일거래량상위,ka10030 당일거래량상위요청,OPT10030 당일거래량상위요청
,0185,전일거래량상위,ka10031 전일거래량상위요청,OPT10031 전일거래량상위요청
,0186,거래대금상위,ka10032 거래대금상위요청,OPT10032 거래대금상위요청
,0188,신용비율상위,ka10033 신용비율상위요청,OPT10033 신용비율상위요청
,0198,실시간 종목 조회 순위,ka00198 실시간종목조회순위,-
,0213,업종별주가,"ka20001 업종현재가요청
ka20002 업종별주가요청","OPT20001 업종현재가요청
OPT20002 업종별주가요청"
,0211,업종현재가,"ka20001 업종현재가요청
ka20002 업종별주가요청","OPT20001 업종현재가요청
OPT20002 업종별주가요청"
,0214,업종시세 - 전업종지수,ka20003 전업종지수요청,OPT20003 전업종지수요청
,0240,외국인정보 - 종목별매매동향,ka10008 주식외국인종목별매매동향,OPT10008 주식외국인요청
,0213,업종별 주가,ka20002 업종별주가요청,OPT20002 업종별주가요청
,0242,기간별매매상위,ka10034 외인기간별매매상위요청,OPT10034 외인기간별매매상위요청
,0243,연속순매매상위,ka10035 외인연속순매매상위요청,OPT10035 외인연속순매매상위요청
