◀ API 리스트 이동,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
키움 REST API,,,,,,
API 정보,,,,,,
메뉴 위치,,국내주식 > 종목정보 > 관심종목정보요청(ka10095),,,,
API 명,,관심종목정보요청,,,,
API ID,,ka10095,,,,
기본정보,,,,,,
Method,,POST,,,,
운영 도메인,,https://api.kiwoom.com,,,,
모의투자 도메인,,https://mockapi.kiwoom.com(KRX만 지원가능),,,,
URL,,/api/dostk/stkinfo,,,,
Format,,JSON,,,,
Content-Type,,application/json;charset=UTF-8,,,,
개요,,,,,,
,,,,,,
Request,,,,,,
구분,Element,한글명,Type,Required,Length,Description
Header,api-id,TR명,String,Y,10,
,authorization,접근토큰,String,Y,1000,"토큰 지정시 토큰타입(""Bearer"") 붙혀서 호출 
 예) Bearer Egicyx..."
,cont-yn,연속조회여부,String,N,1,응답 Header의 연속조회여부값이 Y일 경우 다음데이터 요청시 응답 Header의 cont-yn값 세팅
,next-key,연속조회키,String,N,50,응답 Header의 연속조회여부값이 Y일 경우 다음데이터 요청시 응답 Header의 next-key값 세팅
Body,stk_cd,종목코드,String,Y,20,"거래소별 종목코드
(KRX:039490,NXT:039490_NX,SOR:039490_AL)
여러개의 종목코드 입력시 | 로 구분"
Response,,,,,,
구분,Element,한글명,Type,Required,Length,Description
Header,api-id,TR명,String,Y,10,
,cont-yn,연속조회여부,String,N,1,다음 데이터가 있을시 Y값 전달
,next-key,연속조회키,String,N,50,다음 데이터가 있을시 다음 키값 전달
Body,atn_stk_infr,관심종목정보,LIST,N,,
,- stk_cd,종목코드,String,N,20,
,- stk_nm,종목명,String,N,40,
,- cur_prc,현재가,String,N,20,
,- base_pric,기준가,String,N,20,
,- pred_pre,전일대비,String,N,20,
,- pred_pre_sig,전일대비기호,String,N,20,
,- flu_rt,등락율,String,N,20,
,- trde_qty,거래량,String,N,20,
,- trde_prica,거래대금,String,N,20,
,- cntr_qty,체결량,String,N,20,
,- cntr_str,체결강도,String,N,20,
,- pred_trde_qty_pre,전일거래량대비,String,N,20,
,- sel_bid,매도호가,String,N,20,
,- buy_bid,매수호가,String,N,20,
,- sel_1th_bid,매도1차호가,String,N,20,
,- sel_2th_bid,매도2차호가,String,N,20,
,- sel_3th_bid,매도3차호가,String,N,20,
