◀ API 리스트 이동,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
키움 REST API,,,,,,
API 정보,,,,,,
메뉴 위치,,국내주식 > 계좌 > 증거금세부내역조회요청(kt00013),,,,
API 명,,증거금세부내역조회요청,,,,
API ID,,kt00013,,,,
기본정보,,,,,,
Method,,POST,,,,
운영 도메인,,https://api.kiwoom.com,,,,
모의투자 도메인,,https://mockapi.kiwoom.com(KRX만 지원가능),,,,
URL,,/api/dostk/acnt,,,,
Format,,JSON,,,,
Content-Type,,application/json;charset=UTF-8,,,,
개요,,,,,,
,,,,,,
Request,,,,,,
구분,Element,한글명,Type,Required,Length,Description
Header,api-id,TR명,String,Y,10,
,authorization,접근토큰,String,Y,1000,"토큰 지정시 토큰타입(""Bearer"") 붙혀서 호출 
 예) Bearer Egicyx..."
,cont-yn,연속조회여부,String,N,1,응답 Header의 연속조회여부값이 Y일 경우 다음데이터 요청시 응답 Header의 cont-yn값 세팅
,next-key,연속조회키,String,N,50,응답 Header의 연속조회여부값이 Y일 경우 다음데이터 요청시 응답 Header의 next-key값 세팅
Response,,,,,,
구분,Element,한글명,Type,Required,Length,Description
Header,api-id,TR명,String,Y,10,
,cont-yn,연속조회여부,String,N,1,다음 데이터가 있을시 Y값 전달
,next-key,연속조회키,String,N,50,다음 데이터가 있을시 다음 키값 전달
Body,tdy_reu_objt_amt,금일재사용대상금액,String,N,15,
,tdy_reu_use_amt,금일재사용사용금액,String,N,15,
,tdy_reu_alowa,금일재사용가능금액,String,N,15,
,tdy_reu_lmtt_amt,금일재사용제한금액,String,N,15,
,tdy_reu_alowa_fin,금일재사용가능금액최종,String,N,15,
,pred_reu_objt_amt,전일재사용대상금액,String,N,15,
,pred_reu_use_amt,전일재사용사용금액,String,N,15,
,pred_reu_alowa,전일재사용가능금액,String,N,15,
,pred_reu_lmtt_amt,전일재사용제한금액,String,N,15,
,pred_reu_alowa_fin,전일재사용가능금액최종,String,N,15,
,ch_amt,현금금액,String,N,15,
,ch_profa,현금증거금,String,N,15,
,use_pos_ch,사용가능현금,String,N,15,
,ch_use_lmtt_amt,현금사용제한금액,String,N,15,
,use_pos_ch_fin,사용가능현금최종,String,N,15,
,repl_amt_amt,대용금액,String,N,15,
,repl_profa,대용증거금,String,N,15,
